timestamp_us,rssi,num_subcarriers,amp_0,amp_1,amp_2,amp_3,amp_4,amp_5,amp_6,amp_7,amp_8,amp_9,amp_10,amp_11,amp_12,amp_13,amp_14,amp_15,amp_16,amp_17,amp_18,amp_19,amp_20,amp_21,amp_22,amp_23,amp_24,amp_25,amp_26,amp_27,amp_28,amp_29,amp_30,amp_31,amp_32,amp_33,amp_34,amp_35,amp_36,amp_37,amp_38,amp_39,amp_40,amp_41,amp_42,amp_43,amp_44,amp_45,amp_46,amp_47,amp_48,amp_49,amp_50,amp_51
0,-69,52,15.2376,16.0019,16.9966,18.3199,18.4364,18.9773,20.5734,21.1512,21.7909,22.1229,22.4106,22.7652,23.079,23.4124,22.7383,22.7085,22.0176,21.7931,22.1266,21.0103,20.2174,19.2853,19.1393,18.461,16.846,16.0775,15.4776,14.3679,12.6528,11.833,11.235,10.0866,9.9835,8.9627,7.8818,7.7351,7.0811,6.828,6.6441,6.7812,7.2652,7.2937,7.4899,8.035,8.4311,9.1495,9.6205,10.8752,11.0917,12.3798,13.145,14.2645
20000,-70,52,14.8577,15.8479,16.8911,17.6592,18.0596,20.1669,20.061,20.6931,21.3534,21.5545,22.5153,22.554,23.1976,23.0523,22.9187,22.9728,23.0545,21.8683,21.4108,21.3904,19.7776,19.9503,18.4903,17.897,16.9227,16.3494,14.9682,14.4321,13.3281,11.9818,11.4814,11.476,9.5643,9.0041,8.5544,7.9585,7.1497,6.8508,6.9624,7.0511,6.3227,7.9094,6.7346,7.7711,8.4454,8.9769,9.612,10.0092,11.0522,12.1087,12.9931,13.9227
40000,-59,52,15.0132,15.9846,16.8311,17.3657,19.2182,19.4552,20.1628,20.9812,21.1774,21.6756,22.2806,22.7579,22.8166,23.1268,23.5913,22.5721,22.8336,21.8849,21.4381,20.9985,19.7369,20.2056,18.7953,17.6288,16.9368,16.352,15.4284,14.2669,13.4195,11.4047,11.1299,10.4237,9.3046,8.3989,8.6029,8.2328,6.9125,6.7515,7.5123,6.7826,6.8835,6.7919,7.1593,8.1818,7.9658,9.4713,9.479,10.5234,11.3391,12.1874,12.7084,13.9028
60000,-72,52,15.3822,16.1471,17.0005,18.4827,18.7909,19.4557,20.3386,21.4329,21.6195,22.2395,22.8388,22.6137,22.4237,23.0898,23.0106,22.5851,22.7415,22.2659,21.2854,21.1436,20.2461,19.0996,18.8537,17.8233,16.6909,16.1212,15.1464,13.8624,13.2056,12.4677,11.0684,10.5697,9.6958,9.6917,7.8574,8.1249,7.428,7.2024,7.6288,6.9974,7.7306,7.0998,7.625,7.7691,8.2089,9.0307,9.6102,10.5162,10.6507,12.7639,13.0354,14.5586
80000,-58,52,14.8982,16.4163,16.8504,17.3161,18.5356,19.2498,20.3825,21.1835,22.0406,22.2595,22.7215,22.8648,23.2663,23.1058,23.2645,22.5884,22.8148,22.2086,21.6511,20.8972,20.8483,19.7917,18.1295,18.2433,16.5572,15.797,15.1202,14.0664,12.8726,11.8397,11.1878,10.6687,9.5691,8.7838,8.4006,8.0745,7.3174,6.9698,7.6925,6.6968,7.4756,7.2569,7.3928,7.8633,8.0698,8.9285,9.8822,10.661,11.4861,12.2572,13.0152,14.3501
100000,-55,52,14.8812,15.5691,17.3502,17.8018,19.2701,19.5717,20.1698,21.4097,21.7333,22.0233,22.587,22.8622,22.7157,22.9215,22.5644,22.4755,22.6024,22.4912,21.5534,21.3341,20.7857,19.2193,18.9812,18.0094,16.9103,15.9892,15.0565,13.6123,13.0485,12.6551,10.9818,10.3544,9.8135,9.0191,8.8981,7.4812,6.974,7.0717,6.9108,6.9158,7.2376,7.4174,7.9507,7.5991,8.8277,8.5188,9.7514,10.6757,11.6992,12.4774,13.3142,13.8318
120000,-68,52,15.197,15.8651,17.1957,18.2957,18.8546,19.8219,20.5978,21.6039,21.6463,21.781,22.2443,22.3392,22.9437,23.1767,22.8529,22.4866,22.8086,22.1652,21.7932,21.6264,19.9791,19.9951,18.8649,17.6827,16.7525,15.7089,14.9797,14.1477,13.1262,11.8871,10.8304,10.4288,9.8444,8.7881,9.0211,8.0223,7.492,7.627,7.1417,6.9914,6.8313,7.0749,7.5928,7.6035,8.5641,8.9972,9.8523,10.3405,11.5909,12.2516,12.546,13.9678
140000,-66,52,14.9249,16.0504,16.7767,17.6063,18.4902,20.0805,20.2571,20.7391,21.472,22.37,22.2747,22.9121,23.16,23.2247,23.3616,22.6024,22.8199,21.8458,21.4649,21.3469,20.5517,19.5451,18.3604,18.0053,16.7254,15.6871,14.8056,14.1097,12.4492,12.2714,11.3344,10.2801,10.0061,9.1953,8.2342,7.7153,7.7284,6.7776,6.9585,6.8107,7.0793,7.2958,7.5309,8.2568,8.4845,8.9174,9.3318,10.672,11.4407,12.5984,12.8612,14.0436
160000,-72,52,15.465,15.5925,17.3062,17.4936,18.8232,20.0759,20.1932,20.6719,20.9569,21.8472,22.5962,22.8784,22.5815,23.0814,22.6973,22.6727,22.4908,21.7595,21.8353,20.4072,19.7194,19.8349,18.5512,17.8957,17.126,15.7135,15.0064,13.4615,12.9966,12.6758,11.0614,10.4769,9.2541,9.1869,8.4425,8.1865,7.6161,7.1559,7.2304,7.2394,7.1777,7.403,7.2885,8.0534,8.311,9.0348,9.8433,10.197,11.3722,11.4438,13.6994,14.1114
180000,-60,52,14.29,16.0677,16.8248,18.1213,19.1609,19.1856,19.8303,20.8719,21.7814,21.4741,22.2413,22.7852,22.6452,23.0268,22.6798,22.2991,22.3873,21.5164,22.3215,20.5798,19.6662,19.4054,18.347,17.5953,17.1888,16.1241,15.1273,13.8947,13.0684,12.4298,11.0209,10.5319,9.8713,8.8457,8.7154,7.8216,7.6919,6.9413,7.0577,6.9019,7.2624,7.1689,8.2043,8.2312,8.4891,9.0308,9.7048,11.029,11.122,12.0102,12.9396,14.0602
200000,-66,52,14.7747,16.0146,16.6364,18.1372,19.183,19.4366,20.3362,20.8114,21.4363,22.4494,22.8344,22.5978,23.1854,22.841,23.1278,22.6958,22.0069,21.7745,21.6047,21.4513,20.1599,19.9763,18.9007,17.334,16.835,15.9293,14.5677,13.9455,13.4787,12.3451,11.5944,10.4804,9.3758,9.0316,8.0064,8.398,7.3525,7.2757,7.2214,7.3258,6.8154,6.896,7.9731,7.6658,7.8689,9.1347,9.4738,10.3102,11.302,12.8636,13.0261,14.3587
220000,-58,52,14.5966,15.7749,16.7336,18.1368,18.5603,19.8536,20.163,21.1715,21.509,22.4806,22.7589,22.5061,22.7474,22.9796,22.9583,23.0735,22.2709,22.0081,21.116,21.0589,20.252,19.5624,18.634,18.1305,16.9332,16.407,14.7409,14.315,12.523,13.0048,11.0167,10.3685,9.4491,9.0855,8.4746,8.3923,7.3219,7.6856,7.4959,6.8605,7.2348,7.6911,7.4535,8.3112,8.442,8.6084,10.258,10.3862,11.2009,12.4351,12.9336,14.4813
240000,-68,52,14.8765,16.7666,16.4765,17.6842,19.1416,19.9752,19.6968,21.023,21.282,21.9321,22.3018,22.8375,23.6187,23.2265,22.3896,22.8453,22.3846,22.1524,21.5154,20.9157,20.5334,19.8556,18.3998,18.7409,17.2898,16.3099,14.5834,13.707,13.141,12.5237,10.9734,10.5547,10.2763,8.3108,8.2736,8.3092,7.1397,6.9194,7.2521,6.9338,7.1652,7.6602,7.6221,8.071,8.4357,9.0219,9.3116,10.5787,11.2264,12.3736,12.9606,13.5852
260000,-58,52,15.1972,16.0589,16.866,18.3656,18.2602,19.255,20.3527,21.1283,21.6107,22.2519,22.4638,22.9329,23.4369,23.1948,22.4791,22.453,22.764,21.9303,21.3333,21.038,20.1093,19.682,18.4059,17.7568,16.4007,15.6005,14.9604,13.6295,13.2989,12.1982,11.0095,9.9261,9.6426,8.9799,8.4677,7.3619,7.068,6.9978,7.2227,7.3236,6.8319,7.3185,7.8408,7.9102,8.7268,8.2845,9.3931,10.5131,11.2213,12.2904,13.2497,14.2975
280000,-57,52,14.8281,16.6665,17.062,17.4875,18.4675,19.6175,19.9517,21.7005,21.2866,22.2879,22.9182,22.7348,22.6429,22.9181,23.0503,23.0303,22.4971,21.6636,21.5966,20.7861,19.65,19.3352,18.2881,18.0129,17.4978,16.5219,14.828,13.8955,13.2921,12.4815,11.1566,10.4127,10.3571,8.9797,8.2705,7.9523,7.6938,6.926,6.9838,6.6501,6.9748,7.7955,7.7424,7.8886,8.1362,8.9185,10.0102,10.287,11.7173,11.7511,12.9985,14.5585
